player_id,game_id,fgm,fga,pts
203992,21900644,5,15,14
1627741,21900644,7,19,20
1627812,21900644,3,5,7
1627884,21900644,2,3,7
1628368,21900644,7,22,14
1628389,21900644,6,9,16
1628963,21900644,7,13,15
1629130,21900644,4,11,12
1629134,21900644,7,17,25
1629639,21900644,2,6,6
200757,21900685,3,5,6
200782,21900685,1,3,5
201566,21900685,14,29,32
201569,21900685,5,14,19
203085,21900685,5,9,13
203115,21900685,5,8,11
203463,21900685,6,11,15
203914,21900685,3,5,6
203924,21900685,8,12,25
203991,21900685,3,8,9
203999,21900685,9,18,24
1627736,21900685,3,11,10
1627863,21900685,3,9,11
1628408,21900685,0,2,0
1628420,21900685,7,15,17
1628470,21900685,3,10,7
1629008,21900685,6,12,17
201163,21900688,3,4,7
201959,21900688,5,8,11
202066,21900688,4,12,11
202694,21900688,9,18,21
203493,21900688,4,8,10
203901,21900688,4,10,9
203915,21900688,7,17,23
203925,21900688,5,10,11
203944,21900688,10,22,22
1626171,21900688,3,6,6
1627747,21900688,2,12,7
1627752,21900688,4,10,14
1627789,21900688,1,2,3
1628373,21900688,5,9,11
1628386,21900688,2,3,5
1628422,21900688,2,3,4
1628995,21900688,1,2,4
1629011,21900688,6,6,12
1629033,21900688,0,1,0
1629066,21900688,5,9,12
1629651,21900688,1,1,4
201143,21900702,4,11,12
202692,21900702,3,8,12
202699,21900702,6,10,14
203110,21900702,3,8,9
203118,21900702,0,2,0
203516,21900702,1,2,2
203526,21900702,7,10,19
203922,21900702,7,11,20
203954,21900702,9,13,24
1626156,21900702,10,22,28
1627732,21900702,4,11,17
1627737,21900702,6,10,15
1627788,21900702,3,7,8
1627814,21900702,2,8,6
1628980,21900702,1,2,2
1629003,21900702,5,6,11
1629015,21900702,1,5,3
1629016,21900702,2,7,5
1629672,21900702,2,6,4
1629673,21900702,1,5,3
1629680,21900702,2,5,5
2594,21900739,3,5,8
101141,21900739,3,9,8
201572,21900739,7,16,17
201577,21900739,0,1,0
202083,21900739,0,3,2
202339,21900739,5,8,12
203114,21900739,9,15,25
203507,21900739,10,21,30
204020,21900739,0,3,0
1626162,21900739,5,20,15
1626164,21900739,9,15,32
1626192,21900739,3,4,8
1627767,21900739,5,9,11
1628425,21900739,2,3,4
1628969,21900739,2,8,7
1628975,21900739,6,10,15
1628978,21900739,6,12,15
1629028,21900739,10,27,20
1629059,21900739,1,4,2
1629607,21900739,0,1,0
1629665,21900739,2,3,4
1629745,21900739,1,4,2
200768,21900758,12,21,32
201586,21900758,13,21,30
203087,21900758,2,9,5
203200,21900758,7,12,22
203506,21900758,5,14,13
203926,21900758,6,10,19
204456,21900758,4,4,9
1626167,21900758,3,6,6
1626178,21900758,0,1,0
1627734,21900758,4,7,15
1627763,21900758,10,14,24
1627775,21900758,1,2,4
1627783,21900758,7,18,25
1627832,21900758,4,10,10
1628384,21900758,0,1,0
1628449,21900758,2,3,7
1628988,21900758,2,6,5
1629056,21900758,4,9,11
200755,21900765,7,14,18
201152,21900765,5,10,11
201950,21900765,4,11,9
202324,21900765,4,5,8
202734,21900765,3,8,8
203107,21900765,4,10,9
203897,21900765,8,19,22
1626143,21900765,1,2,2
1626245,21900765,1,4,5
1627742,21900765,5,10,15
1627853,21900765,5,6,13
1627885,21900765,5,8,11
1628366,21900765,3,5,9
1628402,21900765,1,2,2
1628404,21900765,4,7,12
1628436,21900765,1,1,3
1628990,21900765,6,14,16
1629627,21900765,9,11,21
1629632,21900765,5,15,14
1629637,21900765,3,4,9
1629690,21900765,6,6,15
1629740,21900765,5,8,12
201565,21900808,1,13,2
202693,21900808,5,7,14
202696,21900808,9,21,19
202704,21900808,5,16,12
203082,21900808,2,12,5
203095,21900808,6,13,19
203487,21900808,0,2,0
203503,21900808,6,8,16
203516,21900808,2,4,7
203920,21900808,4,5,8
203932,21900808,8,15,25
204038,21900808,4,11,11
1626174,21900808,9,14,26
1627748,21900808,6,9,18
1628365,21900808,8,14,22
1628411,21900808,5,6,11
1628971,21900808,1,2,2
1629004,21900808,2,6,8
1629109,21900808,0,4,0
1629635,21900808,1,6,3
201144,21900855,4,6,8
201937,21900855,6,13,22
202711,21900855,4,10,16
203382,21900855,4,10,9
203497,21900855,3,5,13
203903,21900855,5,11,14
203967,21900855,5,5,14
204060,21900855,2,7,9
1626144,21900855,1,3,4
1626162,21900855,7,13,18
1626164,21900855,8,18,24
1626220,21900855,1,2,5
1627767,21900855,1,2,2
1627777,21900855,0,3,0
1628378,21900855,11,19,38
1628396,21900855,1,1,4
1628969,21900855,3,3,8
1628975,21900855,3,8,8
1629028,21900855,8,9,16
1629059,21900855,0,2,0
1629660,21900855,1,1,2
1629661,21900855,3,3,8
1629752,21900855,0,1,0
2544,21900861,17,27,40
2730,21900861,1,1,2
200755,21900861,0,0,3
200765,21900861,0,4,0
201580,21900861,1,2,2
201950,21900861,5,19,11
201980,21900861,6,10,17
202324,21900861,4,5,8
202340,21900861,0,8,0
202693,21900861,1,3,4
202734,21900861,0,1,0
203076,21900861,6,21,21
203484,21900861,6,11,15
1627742,21900861,12,20,34
1627936,21900861,3,5,8
1628366,21900861,4,11,10
1628398,21900861,4,10,9
1628404,21900861,1,4,3
1629627,21900861,8,18,29
1629740,21900861,5,8,11
1713,21900867,1,1,2
201571,21900867,3,7,9
201952,21900867,3,7,12
202696,21900867,8,15,17
203082,21900867,4,14,14
203095,21900867,11,18,28
203487,21900867,1,6,2
203516,21900867,5,11,12
203932,21900867,9,14,25
1627745,21900867,0,1,0
1628365,21900867,4,8,8
1628381,21900867,11,19,26
1628964,21900867,4,7,15
1628981,21900867,5,7,10
1628989,21900867,5,12,13
1629027,21900867,10,27,37
1629164,21900867,2,2,4
1629629,21900867,5,10,14
1629631,21900867,0,8,2
201567,21900890,6,9,20
203083,21900890,12,21,27
203200,21900890,1,3,2
203506,21900890,7,15,19
203521,21900890,2,3,4
203926,21900890,3,6,9
203933,21900890,14,20,30
204456,21900890,0,4,0
1626167,21900890,4,9,10
1626204,21900890,1,4,5
1626224,21900890,3,6,8
1627734,21900890,8,13,18
1627763,21900890,9,13,22
1628988,21900890,1,3,3
1629012,21900890,7,16,16
1629048,21900890,0,1,0
1629636,21900890,5,13,10
1629645,21900890,5,13,14
202397,21900901,3,9,6
202722,21900901,9,14,29
203078,21900901,10,24,34
203894,21900901,3,5,9
203952,21900901,9,19,27
1627733,21900901,4,12,8
1627737,21900901,6,8,12
1627780,21900901,1,2,2
1627814,21900901,4,11,10
1628394,21900901,1,1,3
1628418,21900901,5,6,12
1628539,21900901,6,10,17
1628972,21900901,0,4,2
1629010,21900901,2,5,6
1629060,21900901,4,8,15
1629067,21900901,2,4,6
1629308,21900901,1,6,2
1629672,21900901,7,14,17
1629673,21900901,5,9,17
200794,21900913,6,9,18
203115,21900913,8,18,18
203486,21900913,7,8,16
203914,21900913,4,7,8
203924,21900913,1,4,3
203952,21900913,9,16,22
203999,21900913,7,15,16
1626184,21900913,0,1,0
1627733,21900913,5,9,14
1627737,21900913,7,12,16
1627750,21900913,3,14,14
1627814,21900913,1,9,4
1628420,21900913,2,6,4
1628539,21900913,5,11,15
1629008,21900913,1,6,3
1629308,21900913,3,4,8
1629672,21900913,8,13,22
1629673,21900913,4,7,15
201144,21900921,6,9,17
201959,21900921,1,2,2
201961,21900921,1,6,3
202711,21900921,7,15,23
203090,21900921,1,4,2
203493,21900921,2,4,4
203497,21900921,7,8,18
203901,21900921,8,13,20
203903,21900921,2,6,7
203944,21900921,12,21,32
204060,21900921,3,4,8
1626144,21900921,1,2,2
1626171,21900921,8,15,21
1626220,21900921,1,8,3
1627777,21900921,1,2,3
1628373,21900921,2,3,4
1628378,21900921,9,21,23
1628396,21900921,4,4,8
1628995,21900921,1,5,2
1629628,21900921,5,12,14
1629671,21900921,0,2,0
1713,21900969,2,5,5
201952,21900969,5,7,15
201959,21900969,4,6,9
201961,21900969,0,3,0
203090,21900969,6,13,14
203473,21900969,3,8,6
203901,21900969,4,8,11
203944,21900969,13,22,33
1626171,21900969,3,7,7
1626203,21900969,2,4,5
1628373,21900969,1,7,8
1628381,21900969,9,20,22
1628981,21900969,1,3,2
1628989,21900969,4,9,8
1628995,21900969,3,7,12
1629011,21900969,7,7,16
1629027,21900969,12,25,42
1629628,21900969,9,14,26
1629629,21900969,5,13,11
1629631,21900969,5,12,15
200755,21901231,7,15,21
201144,21901231,7,16,20
201950,21901231,9,18,20
202324,21901231,1,3,2
202734,21901231,3,7,8
203497,21901231,5,9,14
203903,21901231,8,17,23
204060,21901231,4,7,13
1626144,21901231,0,2,0
1626220,21901231,5,11,12
1627742,21901231,7,20,23
1627777,21901231,0,6,0
1628366,21901231,2,13,4
1628378,21901231,6,14,20
1628396,21901231,2,2,4
