name,dist,value,made,desc,team,opp,x,y,player_id,event_id,zone,area,date,team,opp,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,game_id,date,period,min_left,sec_left
K. Leonard,16,2,True,Fadeaway Jump Shot,LAC,LAL,-65,153,202695,205,16-24 ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0021900002,20191022,2,9,20
L. James,7,2,True,Turnaround Hook Shot,LAC,LAL,-16,71,2544,206,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,9,2
M. Harkless,23,3,True,Jump Shot,LAC,LAL,-218,90,203090,212,16-24 ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,8,42
L. James,2,2,True,Driving Layup Shot,LAC,LAL,-13,17,2544,214,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,8,32
K. Leonard,17,2,True,Running Pull-Up Jump Shot,LAC,LAL,176,30,202695,215,16-24 ft.,Right Side(R),20191022,LAC,LAL,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,8,21
T. Daniels,3,2,True,Floating Jump shot,LAC,LAL,-1,32,203584,216,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0021900002,20191022,2,7,59
K. Leonard,19,2,True,Pullup Jump shot,LAC,LAL,192,4,202695,224,16-24 ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,7,34
T. Daniels,25,3,False,Jump Shot,LAC,LAL,-5,252,203584,225,24+ ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,7,17
M. Harkless,2,2,True,Cutting Dunk Shot,LAC,LAL,-2,25,203090,227,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0021900002,20191022,2,7,8
D. Green,16,2,False,Pullup Jump shot,LAC,LAL,129,99,201980,239,16-24 ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,6,39
